createur,voie,commanditaire,page_annonceuse,debut_diffusion,plateformes,ad_id,extrait,url_apercu
@philippinejaillet,pseudo ecrit tel quel,CNIEL,Laitflix,2026-03-16,instagram,2548664262194648,"Avant-dernier épisode de la série « CHAUD! », et la pression monte d’un cran. Cette fois, la brigade prend ses quartiers dans une résidence senior à Villeurbanne avec la cheffe @philippinejaillet pour cuisiner 70 desserts. ",https://www.facebook.com/ads/archive/render_ad/?id=2548664262194648&access_token=JETON_RETIRE
La Brigade,compte connu du registre,CNIEL,Laitflix,2026-03-16,instagram,2548664262194648,"Avant-dernier épisode de la série « CHAUD! », et la pression monte d’un cran. Cette fois, la brigade prend ses quartiers dans une résidence senior à Villeurbanne avec la cheffe @philippinejaillet pour cuisiner 70 desserts. ",https://www.facebook.com/ads/archive/render_ad/?id=2548664262194648&access_token=JETON_RETIRE
@jeffreycagnes,pseudo ecrit tel quel,CNIEL,Laitflix,2026-02-26,instagram,937741255388033,C’est au tour de @jeffreycagnes de challenger la brigade CHAUD! Le chef pâtissier débarque à Saint-Etienne pour cuisiner un dessert avec les cinq élèves dans une laiterie. ,https://www.facebook.com/ads/archive/render_ad/?id=937741255388033&access_token=JETON_RETIRE
La Brigade,compte connu du registre,CNIEL,Laitflix,2026-02-26,instagram,937741255388033,C’est au tour de @jeffreycagnes de challenger la brigade CHAUD! Le chef pâtissier débarque à Saint-Etienne pour cuisiner un dessert avec les cinq élèves dans une laiterie. ,https://www.facebook.com/ads/archive/render_ad/?id=937741255388033&access_token=JETON_RETIRE
@osanchaise.,pseudo ecrit tel quel,CNIEL,Laitflix,2026-02-26,instagram,923406680150615,"Dans ce troisième épisode de la série CHAUD!, la brigade se rend à la laiterie Sainte-Colombe avec le chef @osanchaise. Le défi : decouvrir la fabrication du Saint-Marcellin puis cuisiner au milieu de la laiterie. ",https://www.facebook.com/ads/archive/render_ad/?id=923406680150615&access_token=JETON_RETIRE
La Brigade,compte connu du registre,CNIEL,Laitflix,2026-02-26,instagram,923406680150615,"Dans ce troisième épisode de la série CHAUD!, la brigade se rend à la laiterie Sainte-Colombe avec le chef @osanchaise. Le défi : decouvrir la fabrication du Saint-Marcellin puis cuisiner au milieu de la laiterie. ",https://www.facebook.com/ads/archive/render_ad/?id=923406680150615&access_token=JETON_RETIRE
@osanchaise.,pseudo ecrit tel quel,CNIEL,Laitflix,2026-02-18,instagram,1456257615894935,"Dans ce troisième épisode de la série CHAUD!, la brigade se rend à la laiterie Sainte-Colombe avec le chef @osanchaise. Le défi : decouvrir la fabrication du Saint-Marcellin puis cuisiner au milieu de la laiterie. ",https://www.facebook.com/ads/archive/render_ad/?id=1456257615894935&access_token=JETON_RETIRE
La Brigade,compte connu du registre,CNIEL,Laitflix,2026-02-18,instagram,1456257615894935,"Dans ce troisième épisode de la série CHAUD!, la brigade se rend à la laiterie Sainte-Colombe avec le chef @osanchaise. Le défi : decouvrir la fabrication du Saint-Marcellin puis cuisiner au milieu de la laiterie. ",https://www.facebook.com/ads/archive/render_ad/?id=1456257615894935&access_token=JETON_RETIRE
@jorickdorignac,pseudo ecrit tel quel,CNIEL,Laitflix,2026-02-13,instagram,2328039861012418,Le chef @jorickdorignac se rend sur la ferme de Bruno en Isère. Le défi : apprendre à traire les vaches puis cuisiner au milieu de la ferme un riz au lait.  L’épisode 2 de la série CHAUD! est disponible sur la chaine YouTube Les Produits Laitiers. ,https://www.facebook.com/ads/archive/render_ad/?id=2328039861012418&access_token=JETON_RETIRE
Produits Laitiers,compte connu du registre,CNIEL,Laitflix,2026-02-13,instagram,2328039861012418,Le chef @jorickdorignac se rend sur la ferme de Bruno en Isère. Le défi : apprendre à traire les vaches puis cuisiner au milieu de la ferme un riz au lait.  L’épisode 2 de la série CHAUD! est disponible sur la chaine YouTube Les Produits Laitiers. ,https://www.facebook.com/ads/archive/render_ad/?id=2328039861012418&access_token=JETON_RETIRE
