# releve : 2026-08-27
# plateforme : instagram
# compte vitrine : @herta_france
# nature : liste des comptes SUIVIS par ce compte
# origine : copier-coller manuel de Vincent
# comptes : 63

yaamcooks	Yaam
nestle	Nestlé
nestledessert_officiel	Nestlé Dessert
nespresso	Nespresso
lustucru.officiel	Lustucru
geoffrey.chevallier	geøffrey
bonduelle_fr	Bonduelle France
takethepower_july	Julie Tournier
mousline_officiel	Mousline
hertauk	Herta UK
demotivateurfood_fr	Demotivateur Food
casa_tarradellas	Casa Tarradellas
perrier	Perrier 🌍
melgui_vibes	Mélanie
angeliquegionti	Angélique
nathalienardiniphotographe	Nathalie Nardini | Photographe Culinaire Toulon Var
boursin_france	Boursin
encompagniedurenard	Mathieu Renard
agence_vianova	V I A N O V A
leporcfrancais	Le Porc Français
cuisineaz	CuisineAZ
chezmisa	~ Marisa ~
with_passion_s	Sandra
bopain.paris	Boulangerie Bopain
florianedu	Floriane Dumen
manelbenaissaofficiel	Manel Benaissa 🪬
borey	Borey
toutsimplementaveclesdoigts	Tout simplement avec les doigts
painsjacquet	Jacquet
herta_belgium	Herta Belgium
cook_a_healthy_food	Aurélia
fitspau	Pauline ☀️
salutcestclaire	Claire Le Gallo
ninja.france	Ninja France
six_foods	Sixtine
nicolas_blondel	Nicolas Blondel
by_aureliaa	ᗩ ᑌ ᖇ É ᒪ I ᗩ 🍉
cookded	
nekokaburichan	健全なる魂は健全なる精神と健全なる肉体に宿る
healthyclemsy	C.l.é.m.e.n.c.e 🌿
emelinecooking	• Emeline •
valin_food	Valinfood 🦋 Valentine A.
cookingmicheline	▪️Cooking Micheline▪️
healthyfood_creation	Lucie 😊 recettes de plats sains
cooking_sandrine	Sandrine
cuisinepinup	𝕃𝕒 ℂ𝕦𝕚𝕤𝕚𝕟𝕖 𝔻’𝕦𝕟𝕖 ℙ𝕚𝕟-𝕦𝕡 🌸🌸
healthylifemary	Maryline Demangel
maynes.k.a	🌸Maynes🌸
inspirationenmerveilles_	Valéria
totocuistot_	Tom Fauconnet
aurorefrg	Aurore
enrouteverslepoidsideal	Ophélie
_beigestudio_	Production de contenus 📸
larecettedujour1	La Recette du Jour ✨
thefitfeline	Chacha 🐾
yuka_app	Yuka | Scan de produits
denisbrogniart_off	Denis BROGNIART
wernou	Werner | Healthy Living
petitbillyofficiel	Petit Billy Officiel
complikat_n	Kat - My Little World 🦋🐞🌺
oeufsmatines	Matines
emy_fitaddict	🎀Accro au Sport🎀
bienmangeraveclydie	Lydie | de créatrice food à mentor food 🍽️
