# releve : 2026-08-27
# plateforme : instagram
# compte vitrine : @legaulois_officiel
# nature : liste des comptes SUIVIS par ce compte
# origine : copier-coller manuel de Vincent
# comptes : 221

lamanufacture.production	La Manufacture Production
bon_ap_	Alexis
innocentfrance	
sodebo	Sodebo
severineprats	Severine Prats
panzani.france	Panzani
herta_france	Herta
fleurymichon	Fleury Michon
noha.btrd_	Nøha
volaillefrancaise	La Volaille Française
cuisinemagazine	Cuisine Magazine
msb_officiel	Le Mans Sarthe Basket
burgerkingfr	BURGER KING® FRANCE 🍔
avec1itrema	Syliam Alendroit
cookpad_fr	Cookpad France
alisooonmk	Alison ⚯͛🌙
tntsports	TNT Sports
stmamet	St Mamet Officiel
vandbfest	V and B Fest’
mccainfr	McCain France
barilla_fr	Barilla France
apericube_officiel	Apéricube
legaulois_professionnel	Le Gaulois Professionnel
odelices	Marie-Laure Tombini
bulles_de_vie	Bulles de vie - Influenceuse Food🧁🍫
actimelfr	Actimel France
drainemoi.cassis	Manon Cornette - Drainage lymphatique sur mesure
lovecookstory	Irina | Créatrice de contenu
oasisbefruit	Oasisbefruit
teisseirefrance	Teisseire France
bontedivine_agence	BontéDivine!
charal_officiel	Charal
cochonouetvous	Cochonou
atouts_gourmands	Emilie AtoutsGourmands
supporters_cedrine_kerbaol_off	Supporters de Cédrine Kerbaol
lady.coquillette	Pauline G.
cuisine_safranetpotiron	Safran & Potiron
lacaravanedutour	La Caravane du Tour
foxy.cooking	Doriane
programmemalin	Programme Malin
picardsurgeles	Picard Surgelés
mathilde_besly	Mathilde | Créatrice de recettes & Photographe
audreycuisine	Audrey Bourdin
elodiie_family	🌸 Elodie 🌸
maxfoodergram	Maxime Poullain
adeline_cuisine	Adeline THIRY | La cuisine d'Adeline
chezmisa	~ Marisa ~
arthurdhe	A R T H U R
candice_chd_	Candice ♡
e.ien_	› Elodie
cook.all.day	🌼🌸🌼Laetitia 🌸🌼🌸
coact_agency	COACT Agency
florianeskitchen	Floriane's Kitchen 🍴
yoplaitfrance	YOPLAIT FRANCE
alicepages	Alice Pagès
aurelie_food.and.life	Conseillère Guy Demarle ~ 77 🌿
encuisineaugustine	Laurène Simone Augustine
letourdefrance	Tour de France™
amadietetique	🍩 | Diététicienne-nutritionniste | Amandine Berthaud
sandrabssi	Sandra Bassi 🥨
cookingmammma	Cookingmammma
food.from.desire	Marjorie | Lifestyle & Adresses
val.lafoodie	Val (ou Choupi pour les intimes)
hellocookss	Elodie ♡
yohan_naturopathe	Naturopathie et recettes anti-inflammatoires
anaischuv	Anaïs
lafourmiele	la Fourmi Elé
chez_vanda	chez Vanda
aubertin_chloe	Chloé 🌻
levegetaldedemain	Le Végétal de Demain 🌿
the_wandering_spoon_	Jane de beurre
clementale_	Clément SERANT
laura_laauu	Laura 🥞🇫🇷 PROZIS : LAURALAU
marianne_lt	🌻 M a r i a n n e
le.media.food	Le Média Food
caprice_food	Prisca 🍍Food & MumLife
atelierdesdesigns	ATELIER DES DESIGNS | Designer d'espaces intérieurs & extérieurs
devoredesyeux	Dévore des Yeux
_happyhealthyy	MÉLISSA 👩🏻‍🍳
pepites2noisette	Celine Rivier
mamscook	MAMSCOOK
fitspau	Pauline ☀️
maillotjaunelcl	Maillot Jaune LCL
thedailystella_	ᴇsᴛᴇʟʟᴇ • ᴘʜᴏᴛᴏɢʀᴀᴘʜᴇ & ᴠɪᴅᴇᴀꜱᴛᴇ
simplicite_____	✨ Géraldine ✨
lemonde.defaby	Fabienne
cuisine_etudiant_officiel	Cuisine-etudiant.fr 👩‍🍳👨‍🍳
m.cookwithlove	Marie
sysyinthecity	SysyInTheCity
cuisineetdelices	Cuisine et Délices
sophiechoualacreme	Sophie
mon_insta_diet	Pauline | Recettes saines et rapides
jow_fr	Jow l’app qui fait vos courses
mmsfrance	M&M'S France
camomilicious	Camomilicious🧑🏼‍🍳🍋
laetitia.schahl	Laëtitia Schahl | Photographe culinaire
juju.plc	Julien Plancoulaine
studiohananas	Yasmina D. | Photographe et vidéaste culinaire 🍍
repasminceur	Les assiettes épurées d’Astrid ♡
aux_fourneaux	Manuella Cousin
lescookines	Julia 🌱✊🏼
franckmen	Franckmen
foooodiiizz	Eva
maguer.culinaire	Vincent Maguer
nass_foood	NASR
anna.culina	Anna 🍍
lili_food_and_go	Lili
les_recettes_de_madikson	💛MadiksonsCooking💛
camyetcetera	Camy Etcetera
chloeasycooking	Chloé (macuisine_etudiante)
eliseditatable	Elise dit à table
lesassiettesdemaddy	Les Assiettes de Maddy
joanaetvous	Joana Hubert | Diététicienne Nutritionniste
unedouceurangevine	Marie-Laure 🦋
cuisinonsencouleurs	✨Salma El Fallah✨
mes_recettes_healthy__	Anaëlle Duchêne | Sacrée Planche 🌿
lau_diet	Laura Souyri
amandinepetitoff	Amandine Petit
mesrecettesfacilesandco	MesRecettesFaciles.fr
culinaire_lg	🧑🏼‍🍳🇮🇹🔪
lapopottedemanue	Emmanuelle Evrard
audreyjubaultphotographe	Audrey Jubault
parisacroquer	Food / Brunch / Restaurant
livionna02	Olivia Préseau
valin_food	Valinfood 🦋 Valentine A.
_la_main_a_la_pate_	𝐌𝐞𝐥 🌼 | 𝐋𝐚 𝐦𝐚𝐢𝐧 𝐚̀ 𝐥𝐚 𝐩𝐚̂𝐭𝐞🌈
cuisineculinaire	Cuisine Culinaire
helcuisine	Hélène et Praline 🐶
manon.bouju	Manon
onmangequoidebon	Onmangequoidebon
jesta_hillmann	Jesta ASSADI HILLMANN 💍
nejma.dieteticienne	Nejma Zibouche🧠Diététicienne & Hypnose
lespassionsdelaurie	LAURIE | ♡
dealeuse.de.regime	Elisa Bastide
la_gourmandise_selon_angie	Angie | Recettes veggies, healthy & gourmandes | Dijon ✨️
gourmandiseries	• Tiphaine • 🥣🍷🍪📷
mygreedyside	Salomé
a_french_toast_in_tlv	The French Toast
foodblog__fr	KΔDI.cnd 🍒
b.kilinc07	🐴
mykitchenetteciebyaicha	Aicha Abdellaoui
cl_a_i_re	Clai Re
lacoudz	Etienne Coudret
cooking_sandrine	Sandrine
claire_mum_fit__	Claire Sauge
marjosamira_cook	Marjo | Une infirmière en cuisine 🌱
jemangequoicesoir	Emeline Bernard
toutfraistoutbio	TOUT FRAIS TOUT BIO
lesrecettesdejuliette	Les recettes de Juliette
cookingformybaby	Céline Laurent
lesdelicesdanais	Karine Karine
healthycooklife	Guillaume | Photographe culinaire
lucie_savourelavie	🇨🇵 Savourons la vie 😍
butternut_and_co	Butternut & Co
craftandco.paris	Alexandre Luu
julya66	Julia Pairot
mimicuisine	Marine Rolland
assia_cuisine_facile	Assia cuisine & Co
la.cuisine.de.nied	la cuisine de Nied 🍝
danslacuisinedejeremy	Dans La Cuisine De Jérémy
laviedunefitmum	Anastasia Szymanski
welowcook	Welowcook
amourencuisine	Aurore Saint Olive
yumiaouss	Maëlle
m_arinesg	Marine Garcia
amandinecooking	Amandine Bernardi
concoctfoodwithgd	Afrocooker • Traiteur Africain👩🏾‍🍳
dt1bzh	Dt1_bzh
foodalix	Food Alix 🥑
studiodemisel	Photographe & styliste culinaire
aliciacolorful	Alicia ☀️ Food, Déco & Cinéma 🍉🎬
la.routine.d.emy	
recettes.fitness.express	Tarek Benarioumbil
lespetitsplaisirsdedoro	Dorothée Routier
ma_cuisine_et_mon_quotidien	Ma cuisine & mon quotidien
carolinelesguillons	Caroline Lesguillons
dieteticienne.gourmande	Mégane Heudiard - Diéteticienne par visio 🍋
belissa.institut	Asmaa Boukdir
nastasialyard_topchef	Lyard Nastasia
emmafitnessgoal	Emma Filoche
coachcooking	Coach Cooking
cookangels	Cook Angels
pastryandtravel	Justine | Photographe Culinaire Poétique
cahierdegourmandises	Cahier de gourmandises
thedailysaby	Thedailysaby
lamikateria	LA MIKATERIA
pazapah	Aure et Killian
repas_du_quotidien	Ornella
tristan_cuisine	Tristan Cabirol
amandine_recipes	Amandine ✨
sarah_family40	🙋 Sarah
olivier.moulin	Papa en Cuisine
caro_de_coco	Langlois Anne-caroline
bouffattitude	
fitfrench_fox	C L O E 🇫🇷
vegeideas	Vegeideas
my_tasty_cuisine_by_ebti	EBTISSAM | Les recettes du monde d’une passionnée 🌎
angelique.cavaroc	Angélique Cavaroc
lespetitsbols	Lespetitsbols
cycling.live	🚴‍♂️ Cycling Live 🚴‍♂️
addict_healthylife	Journal d'une GourmandeHealthy
llo_fst	Lauren 🌸
cococookingfr	Du cash en cuisinant 💸
lumie.laser	LUMIE LASER | ÉPILATION LASER, HYDRADERMA & DERMONUTRITION
justine.foodlove	Justine ROCHAIX #MRMDF
letouryorkshire	Tour de Yorkshire
latarteauxfees	Tarte aux 🧚‍♂️
incycletv	inCycle Powered by EDGEsport
surprises.culinaires	Sans gluten sans lait
lacormerie	Léa
wernou	Werner | Healthy Living
degrace_world	
foodiy_in_paris	Food & Diy in Paris
team_cottage03	Martine Quillet
les_recettes_de_cuisine	Les recettes de cuisine
aymeric_food	Aymeric 🇫🇷
alrickcharlenne92	Alcha
chamangemieux	Conseillère Guy Demarle & Thermomix
tom_and_cie_food	recettes healthy
evasion_culinaire	💮Naouel💮Evasion Culinaire
coco_et_momo	Cooking chef & Thermomix 🍓🍫🌿
